Name,Sex,Age,10th,12th,Stream,IQ,General Test Score,Skill1,Skill2,Skill3,Skill4,Competetive Exam,Suggested Career
Khushal ,Male,19,80,78,Commerce,119,77.7,Subject Knowledge,Patient Care,Coding,Team Management,No,Software Developer
KSHITIJA RAJESH SHEREKAR,Female,19,91,78,Arts,127,75.9,Music,Leadership,Teaching,Discipline,No,Teacher/Educator
LAVKESH GAOUR,Male,17,89,79,Maths,129,64.3,Painting,Menu Planning,Subject Knowledge,Photography,No,No suitable match
NAVNEET KAUR,Male,20,70,75,Maths,107,95.0,Baking,Public Speaking,Programming,Programming,Yes,Software Developer
MEHAK ,Male,20,86,96,Maths,112,96.9,Research,Coding,Art,Coding,Yes,Software Developer
ADAPALA VAMSI KRISHNA,Female,20,91,76,Arts,104,76.5,Baking,Art,Sculpting,Sculpting,No,Artist
LALIT KOOLWAL,Female,19,76,99,Biology,125,69.9,Data Analysis,Discipline,Baking,Menu Planning,No,Teacher/Educator
HEAVENPREET KAUR,Female,18,89,81,Biology,136,59.3,Painting,Empathy,Sculpting,Creativity,No,No suitable match
GAURAV RAHEJA,Female,18,97,78,Biology,118,93.0,Programming,Endurance,Coding,Cooking,Yes,Athlete
Ashutosh Bhatia,Female,18,90,93,Arts,116,62.1,Team Management,Attention to Detail,Problem Solving,Attention to Detail,No,No suitable match
AKASH BANGA,Female,18,94,79,Maths,87,77.5,Creativity,Critical Thinking,Patient Care,Empathy,Yes,No suitable match
HARSHDEEP SINGH,Female,18,94,90,Biology,126,68.1,Art,Medical Knowledge,Patient Care,Sculpting,No,Doctor
ABHISHEK MASIH,Male,19,90,98,Biology,101,80.2,Patient Care,Teaching,Painting,Empathy,Yes,Doctor
MANPREET KAUR TAKKAR,Male,19,99,77,Maths,108,65.5,Music,Menu Planning,Attention to Detail,Music,No,Artist
ANUPEKSHA,Male,18,87,96,Arts,89,82.0,Patient Care,Medical Knowledge,Physical Fitness,Problem Solving,Yes,No suitable match
Sumit Prasad,Female,19,83,86,Commerce,116,89.9,Drawing,Determination,Creativity,Sculpting,Yes,Doctor
RIDHAMKUMAR DIPAKBHAI NAIK,Male,19,96,75,Maths,81,61.4,Art,Sports Skills,Mathematics,Teaching,No,Software Developer
SUNIL SHARMA,Female,18,85,97,Arts,115,58.8,Classroom Management,Public Speaking,Determination,Medical Knowledge,No,Teacher/Educator
RITIK SAINI,Male,20,84,96,Maths,139,61.8,Music,Curriculum Development,Medical Knowledge,Art,No,No suitable match
MOHIT KAUSHIK,Female,19,95,99,Biology,134,67.5,Photography,Menu Planning,Curriculum Development,Teaching,No,Teacher/Educator
MUSKAN MEHRA,Female,20,96,82,Commerce,81,53.8,Physical Fitness,Team Management,Sculpting,Creativity,No,Software Developer
SHALEENI BISWAS,Male,19,74,79,Maths,134,56.5,Creativity,Music,Teaching,Subject Knowledge,No,Teacher/Educator
SHAYNA,Female,19,91,82,Commerce,118,58.5,Team Management,Endurance,Medical Knowledge,Empathy,No,Artist
SHAILLY,Male,18,70,82,Biology,99,77.0,Team Management,Research,Critical Thinking,Critical Thinking,No,Scientist/Researcher
SHIVALIKA,Male,19,72,86,Arts,106,98.9,Leadership,Research,Cooking,Classroom Management,Yes,Teacher/Educator
GWANZURA PAINAS,Female,17,98,94,Biology,138,52.2,Discipline,Sports Skills,Sports Skills,Endurance,No,No suitable match
Abhay Singh,Female,17,71,82,Commerce,83,63.4,Determination,Team Management,Drawing,Analytical Skills,No,Software Developer
Ajay Kumar,Female,18,89,78,Commerce,120,81.0,Research,Subject Knowledge,Art,Logical Thinking,Yes,Teacher/Educator
